accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution
ON959491	ON959491.1	CE5	2019-09-21	South America	Ecuador			Homo sapiens	2023-03-26		Marquez et al.	Marquez,S.,Lee,G.,Zuniga,J.,Andrade,P.,Trueba,G.,Eisenberg,J.,Coloma,J.	Instituto de Microbiologia, COCIBA
OP312954	OP312954.1	LVMRJ126	2018-04-17	South America	Brazil	Duque de Caxias	Rj	Homo sapiens	2023-04-24		Moreira et al.	Moreira,F.R.R.,Menezes,M.T.,Salgado-Benvindo,C.,Paula,H.H.S.,Martins,A.F.,Chagas,R.R.,Brasil,R.D.V.,Candido,D.S.,Herlinger,A.L.,Paula,M.C.,Voloch,C.M.,Tanuri,A.,Iani,F.,Cardozo,S.V.,Faria,N.R.	Federal University of Rio de Janeiro, Department of Genetics
OP312969	OP312969.1	LVMRJ181	2018-05-23	South America	Brazil	Duque de Caxias	Rj	Homo sapiens	2023-04-24		Moreira et al.	Moreira,F.R.R.,Menezes,M.T.,Salgado-Benvindo,C.,Paula,H.H.S.,Martins,A.F.,Chagas,R.R.,Brasil,R.D.V.,Candido,D.S.,Herlinger,A.L.,Paula,M.C.,Voloch,C.M.,Tanuri,A.,Iani,F.,Cardozo,S.V.,Faria,N.R.	Federal University of Rio de Janeiro, Department of Genetics
OP615962	OP615962.1	CHIKV2	2015-04-08	South America	Argentina			Homo sapiens	2023-04-22		Rojo et al.	Rojo,G.L.,Goya,S.,Viegas,M.,Nabaes Jodar,M.S.,Lopez,M.C.A.,Mistchenko,A.S.,Valinoto,L.E.	Ricardo Gutierrez Children's Hospital, Virology Laboratory
OQ054327	OQ054327.1	CHIKV-China/YN2021-1	2021-10-XX	Asia	China			Culicidae	2023-06-11		Xiao et al.	Xiao,P.	Wenzhou University, Institute of Virology
OQ148618	OQ148618.1	AMA2807/H804770	2014-09-12	South America	Brazil	Amapa		Homo sapiens	2023-12-29		Santos et al.	Santos,A.C.M.,Silva,S.P.,Cruz,A.C.R.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
OQ148632	OQ148632.1	BHI4550/H807284	2014-06-11	South America	Brazil	Bahia		Homo sapiens	2023-12-29		Santos et al.	Santos,A.C.M.,Silva,S.P.,Cruz,A.C.R.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
OQ148633	OQ148633.1	BNV1022/H830130	2016-02-16	South America	Brazil	Para		Homo sapiens	2023-12-29		Santos et al.	Santos,A.C.M.,Silva,S.P.,Cruz,A.C.R.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
OQ148638	OQ148638.1	PB377/H837852	2016-11-06	South America	Brazil	Paraiba		Homo sapiens	2023-12-29		Santos et al.	Santos,A.C.M.,Silva,S.P.,Cruz,A.C.R.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
OQ148639	OQ148639.1	PER160/H803609	2014-07-03	South America	Brazil	Pernambuco		Homo sapiens	2023-12-29		Santos et al.	Santos,A.C.M.,Silva,S.P.,Cruz,A.C.R.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
